AFV,Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race White,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
0,7,1,1,2,1,2,3,69,1,3,2,1,0,25,13719.8939721206,3,0,1,1,7,0,3,1,4,1,4,1,0,0,0,0,0
0,3,2,1,1,6,2,3,39,1,5,2,1,0,10,17332.8281028237,1,0,1,1,0,0,3,1,1,1,4,1,0,0,0,0,0
0,5,1,2,2,2,2,3,60,1,2,2,4,0,25,11158.8899421004,2,0,1,1,4,0,2,2,4,3,1,1,0,0,0,0,0
0,7,1,2,2,1,4,4,63,1,2,2,2,0,35,15886.292356926,2,0,2,1,4,0,2,2,1,1,4,1,0,0,0,0,0
0,6,2,2,2,2,3,2,25,1,5,2,4,0,20,7150.68848270978,2,0,1,1,20,0,2,2,2,1,4,1,0,0,0,0,0
1,8,1,1,1,7,2,3,32,1,5,2,4,0,25,19895.8226003483,1,0,1,1,1,0,2,1,3,3,1,1,0,0,0,0,0
0,6,1,2,1,3,4,3,64,1,3,2,2,0,5,22340.9349828617,4,0,2,2,5,0,3,2,4,1,2,1,0,0,0,0,0
0,4,1,4,1,6,2,2,31,1,4,2,4,0,30,9660.4010383616,3,0,3,1,7,0,2,4,4,1,4,1,0,0,0,0,0
0,8,1,1,1,6,1,2,36,0,4,2,4,0,35,11587.6974499414,3,0,1,1,10,0,3,1,2,3,2,0,1,0,0,0,0
0,7,1,4,1,4,5,5,43,0,5,2,4,0,17,7331.78748643051,2,1,2,1,4,0,2,2,4,4,4,1,0,0,0,0,0
1,8,1,2,1,6,4,3,52,0,5,2,4,0,18,12381.1955471451,2,0,1,1,7,1,3,2,1,1,1,1,0,0,0,0,0
0,7,1,2,2,1,2,3,56,0,1,2,3,0,10,5333.33333333333,4,0,2,1,0,0,1,2,2,1,4,1,0,0,0,0,0
0,8,1,4,1,5,4,4,55,0,2,2,1,0,5,2000.0,5,0,1,1,4,0,2,4,4,4,1,1,0,0,0,0,0
0,6,2,4,1,7,1,1,52,0,3,2,4,0,15,5695.6892221935,2,0,1,1,0,0,2,3,1,1,2,1,0,0,0,0,0
0,7,1,1,1,4,2,2,29,0,5,2,4,0,11,6717.18302373302,1,0,1,1,0,0,2,1,4,3,3,1,0,0,0,0,0
0,7,1,1,1,6,2,3,57,0,3,2,4,0,17,16021.1327829063,2,0,1,1,14,0,2,1,3,3,2,1,0,0,0,0,0
0,7,1,2,1,7,4,4,48,1,5,1,4,0,50,8027.73040108538,4,0,1,1,0,0,1,2,1,1,2,1,0,0,0,0,0
0,3,2,5,1,6,2,2,25,0,3,2,3,0,25,13566.1892826471,5,0,7,1,0,0,3,4,2,1,4,1,0,0,0,0,0
0,5,2,1,1,6,1,1,52,1,4,2,4,0,35,200000.0,2,0,1,1,17,0,2,1,1,3,2,1,0,0,0,0,0
0,9,1,4,1,6,2,4,53,0,4,2,4,0,20,14657.1428571429,3,0,2,1,0,0,1,2,4,1,4,1,0,0,0,0,0
0,7,1,2,1,5,3,2,51,1,5,1,4,0,20,14795.4090951719,1,0,1,1,0,0,1,1,4,3,4,0,1,0,0,0,0
0,9,1,2,1,2,4,3,59,0,3,2,4,0,12,8900.0,2,0,1,1,2,0,1,2,4,2,4,1,0,0,0,0,0
0,9,1,2,1,2,4,3,50,1,2,2,1,0,10,16615.6431975263,2,0,2,1,0,0,2,2,4,2,4,1,0,0,0,0,0
0,6,1,2,2,1,2,3,46,1,4,2,4,0,100,92226.4616636476,6,0,1,1,5,0,2,2,4,1,4,1,0,0,0,0,0
0,8,1,1,1,4,1,3,40,0,4,2,1,0,15,1952.43692620922,2,0,1,1,2,0,3,1,4,4,4,1,0,0,0,0,0
0,9,1,2,2,1,4,4,60,1,5,2,4,0,18,19229.9450212422,3,0,2,1,2,0,2,2,4,4,4,1,0,0,0,0,0
0,6,1,1,1,5,2,2,59,1,2,2,2,0,7,5555.40874406825,1,0,1,1,0,0,2,1,4,3,4,1,0,0,0,0,0
0,8,1,3,1,4,4,4,27,0,4,2,4,0,20,6329.86721253731,9,0,1,1,7,3,2,3,3,3,4,1,0,0,0,0,0
0,8,1,3,1,4,4,4,24,1,4,2,4,0,20,10734.3575509335,9,0,2,1,7,3,2,3,3,3,3,1,0,0,0,0,0
0,7,1,4,1,6,2,2,52,1,2,2,1,0,15,36743.8265150279,3,0,1,1,5,0,2,3,1,3,4,0,0,0,0,0,1
0,1,1,3,1,6,4,2,55,0,4,2,2,0,25,11896.814092879,5,0,1,2,2,0,2,3,2,4,4,1,0,0,0,0,0
0,5,1,2,2,1,2,1,59,1,4,2,2,0,60,21473.6771023568,2,0,1,1,10,0,2,2,4,4,4,1,0,0,0,0,0
0,3,2,2,1,6,2,2,28,1,3,2,4,0,30,199.024417831773,2,0,1,2,7,0,2,2,3,3,2,1,0,0,0,0,0
0,5,2,1,1,4,2,2,23,1,4,2,4,0,40,13843.0263912036,1,0,1,1,0,0,1,1,4,4,4,1,0,0,0,0,0
0,9,1,3,1,7,2,2,43,0,4,2,1,0,30,22708.4948232117,4,0,3,1,0,0,1,3,3,2,4,0,0,1,0,0,0
0,5,2,3,1,4,3,3,44,1,4,2,4,0,25,12154.5375403893,4,0,1,1,0,0,2,3,4,4,4,1,0,0,0,0,0
0,5,2,3,1,4,3,3,44,1,4,2,4,0,25,6000.0,4,0,1,1,0,0,2,3,4,4,4,1,0,0,0,0,0
0,8,1,3,1,2,2,3,57,1,3,2,2,0,20,11191.6450364895,3,0,2,1,0,0,2,3,4,3,4,1,0,0,0,0,0
0,5,1,4,2,1,2,3,44,1,4,2,4,0,55,28752.827754385,4,0,1,1,2,0,2,2,4,1,4,1,0,0,0,0,0
0,7,1,1,1,5,4,2,68,1,5,2,4,0,35,5777.35293339291,1,0,1,1,0,0,1,1,1,4,4,1,0,0,0,0,0
1,8,1,2,1,6,4,3,67,0,5,2,4,0,30,31343.3837424373,2,0,1,1,0,1,2,2,3,3,3,1,0,0,0,0,0
0,11,1,2,1,6,3,3,60,0,3,2,3,0,10,13000.0,3,0,1,1,0,0,2,2,2,3,4,1,0,0,0,0,0
0,8,1,4,1,2,3,2,36,0,5,2,4,0,45,50691.1394214271,3,0,1,1,7,0,2,2,2,1,4,1,0,0,0,0,0
0,7,1,2,1,6,2,4,57,0,4,2,1,0,12,5926.7549212384,2,0,2,1,7,0,2,2,1,1,1,1,0,0,0,0,0
0,6,2,3,1,2,5,3,42,1,4,2,4,0,45,13316.2730317007,2,0,1,1,4,0,2,1,2,1,4,1,0,0,0,0,0
0,6,2,1,1,3,4,4,51,0,3,2,4,0,25,15915.6630896614,2,0,1,1,5,0,3,1,4,1,4,1,0,0,0,0,0
0,11,2,2,1,5,5,5,48,1,5,2,4,0,35,11193.9069947196,10,0,1,1,1,0,3,2,3,3,2,1,0,0,0,0,0
0,11,1,2,1,4,5,5,64,0,3,2,4,0,25,11991.8797630371,4,0,1,1,0,0,3,2,4,4,4,1,0,0,0,0,0
0,8,2,2,1,6,5,4,27,1,4,2,4,0,25,15431.1218248175,2,0,1,1,5,0,3,2,2,1,3,1,0,0,0,0,0
0,10,1,2,1,5,4,2,71,1,5,2,4,0,25,17134.0800601193,2,0,2,1,2,0,2,2,3,3,4,1,0,0,0,0,0
1,8,1,1,1,6,3,3,51,1,5,2,4,0,15,8127.2065849774,1,0,1,1,6,0,3,1,4,3,1,1,0,0,0,0,0
0,5,2,1,1,8,1,2,30,0,2,2,1,0,30,15583.175826408,2,0,1,1,1,0,1,1,1,4,4,0,0,0,0,0,1
0,10,1,3,1,4,4,2,42,1,5,2,4,0,20,7361.46834796888,4,1,1,1,5,0,2,2,4,1,4,1,0,0,0,0,0
0,6,1,2,1,4,1,2,62,0,2,2,3,0,20,6623.34155463306,2,0,1,2,7,3,2,2,3,3,3,1,0,0,0,0,0
0,7,1,2,1,5,5,5,57,1,4,2,4,0,15,9818.18181818182,2,0,2,1,10,0,2,2,4,1,4,1,0,0,0,0,0
0,3,2,6,1,4,1,2,30,1,4,2,4,0,10,30852.049580379,1,3,1,1,0,0,1,1,4,4,4,0,1,0,0,0,0
0,11,1,4,1,5,4,4,46,0,4,2,4,0,40,5920.34949837167,4,0,1,1,2,0,2,2,4,4,4,0,1,0,0,0,0
0,10,1,2,2,1,2,3,54,1,5,2,4,0,15,11216.5806022727,2,0,2,1,14,0,2,2,4,3,4,1,0,0,0,0,0
0,10,1,2,2,1,2,3,59,0,5,2,4,0,40,17861.1497374906,2,0,1,1,14,0,3,2,4,3,4,1,0,0,0,0,0
0,8,1,2,1,5,3,3,63,0,5,2,4,0,4,14624.0865183203,2,0,1,1,1,0,2,2,3,3,2,1,0,0,0,0,0
0,2,2,1,1,6,3,2,23,1,5,1,4,0,20,16064.1260439959,1,0,1,1,4,0,2,1,1,4,4,1,0,0,0,0,0
0,6,2,2,1,6,3,3,35,1,3,2,4,0,135,12127.3722814512,2,0,1,1,0,0,1,2,4,3,4,1,0,0,0,0,0
1,7,1,2,1,5,2,3,58,1,3,1,4,0,10,9602.67316433313,3,0,1,1,0,0,3,2,1,4,3,1,0,0,0,0,0
0,8,2,2,1,3,2,4,36,0,5,2,4,0,45,14545.2560492444,2,0,1,1,7,0,3,2,4,4,4,1,0,0,0,0,0
0,10,1,4,1,4,2,3,39,1,5,2,4,0,7,10011.7281155256,3,1,1,1,20,0,3,2,1,1,4,1,0,0,0,0,0
0,10,1,3,1,4,4,2,53,1,4,2,4,0,35,8925.24899675632,4,0,1,1,0,0,1,3,4,4,4,0,1,0,0,0,0
